,Total bases,Number of reads,Minimum read length,Mean read length,Median read length,Maximum read length,Unmapped reads to galGal4,Percentage of galGal4 covered by reads
MSU,470397190,492527,128,955,639,6607,661,28.9
Moleculo,5979144764,1579060,500,3786,2514,17521,326,88.4
